Layers,l1n nodes,l2n nodes,test_mse,test_maeAct_Function,
Layers,25,0,0.00041909,0.015434095,relu
Layers,25,15,0.000465286,0.016731907,relu
Layers,25,35,0.000463791,0.016678303,relu
Layers,40,0,0.000381366,0.013121575,relu
Layers,40,15,0.000394164,0.01323885,relu
Layers,40,35,0.00041237,0.015199534,relu
Layers,75,0,0.000423362,0.015464266,relu
Layers,75,15,0.00053091,0.018460844,relu
Layers,75,35,0.000379935,0.013182333,relu
