Layers,l1n nodes,l2n nodes,test_mse,test_maeAct_Function,
Layers,25,0,0.000547288,0.015496054,relu
Layers,25,15,0.000393444,0.014132369,relu
Layers,25,35,0.000456054,0.016474232,relu
Layers,40,0,0.00038026,0.013062728,relu
Layers,40,15,0.000398046,0.013507913,relu
Layers,40,35,0.000444639,0.016207045,relu
Layers,75,0,0.000398005,0.014546188,relu
Layers,75,15,0.000433331,0.01355269,relu
Layers,75,35,0.0003964,0.01353079,relu
