Layers,l1n nodes,l2n nodes,test_mse,test_maeAct_Function,
Layers,25,0,0.000399682,0.013205613,relu
Layers,25,15,0.000396736,0.014357712,relu
Layers,25,35,0.000407972,0.015034474,relu
Layers,40,0,0.000406789,0.015047952,relu
Layers,40,15,0.000398051,0.014431668,relu
Layers,40,35,0.00046856,0.016822226,relu
Layers,75,0,0.000429686,0.013558125,relu
Layers,75,15,0.000396638,0.013134738,relu
